id;PoiteId;Time;Post1;Post2;Difference;Frequency;Amplitude;Duration;Latitude;Longitude;Altitude;FilterId
3747300;2421671;1632129506170;2;3;-12154.8569062062;437097.0;38.1824568633995;13.2;28.398877299775;29.8876492011535;0.0;58049
3747301;2421671;1632129506170;2;1;-9824.3101083627;437097.0;38.1824568633995;13.2;28.398877299775;29.8876492011535;0.0;58049
3747303;2421673;1632129506173;2;3;-12160.852754257;437101.0;38.2989457590311;13.27;28.348067789192;29.8595060277974;0.0;58049
3747304;2421673;1632129506173;2;1;-9827.30803238809;437101.0;38.2989457590311;13.27;28.348067789192;29.8595060277974;0.0;58049
3747305;2421674;1632129506177;2;3;-12160.852754257;437104.0;38.2989457590311;13.21;28.348067789192;29.8595060277974;0.0;58049
3747306;2421674;1632129506177;2;1;-9827.30803238809;437104.0;38.2989457590311;13.21;28.348067789192;29.8595060277974;0.0;58049
3747333;2421691;1632129506270;4;2;3879.31368884703;437108.0;34.0790480970992;13.24;;;;0
3747352;2421702;1632129506320;4;1;-5780.34729124626;435913.0;24.5707650371212;12.57;;;;0
3747372;2421714;1632129506374;2;1;-9803.32464018501;435621.0;29.946492816159;12.82;28.8289420473808;30.138381927812;0.0;58049
3747373;2421714;1632129506374;2;3;-12167.5980833141;435621.0;29.946492816159;12.82;28.8289420473808;30.138381927812;0.0;58049
3747375;2421716;1632129506378;2;1;-9749.3620077281;435377.0;29.3542757239566;12.6;29.2820763777218;30.4033187129588;0.0;58049
3747376;2421716;1632129506378;2;3;-12167.5980833141;435377.0;29.3542757239566;12.6;29.2820763777218;30.4033187129588;0.0;58049
3747377;2421717;1632129506381;2;3;-12167.5980833141;437092.0;28.0082925559979;13.36;27.5596680397925;29.4121398457528;0.0;58049
3747378;2421717;1632129506381;2;1;-9848.29350056577;437092.0;28.0082925559979;13.36;27.5596680397925;29.4121398457528;0.0;58049
3747379;2421718;1632129506385;2;3;-12167.5980833141;437101.0;27.4827418799883;13.32;27.146998453717;29.1803283570419;0.0;58049
3747380;2421718;1632129506385;2;1;-9854.28934861654;437101.0;27.4827418799883;13.32;27.146998453717;29.1803283570419;0.0;58049
3747381;2421719;1632129506389;2;1;-9851.29142459116;437095.0;26.9233324391216;13.3;27.3694749117666;29.3050536288366;0.0;58049
3747382;2421719;1632129506389;2;3;-12167.5980833141;437095.0;26.9233324391216;13.3;27.3694749117666;29.3050536288366;0.0;58049
3747384;2421721;1632129506392;2;1;-9860.28519666731;437085.0;26.3552990661534;13.24;26.5654685969024;28.8569724050579;0.0;58049
3747385;2421721;1632129506392;2;3;-12167.5980833141;437085.0;26.3552990661534;13.24;26.5654685969024;28.8569724050579;0.0;58049
3747386;2421722;1632129506396;2;3;-12167.5980833141;437044.0;25.6939846242874;13.19;28.6400872589386;30.0289566381809;0.0;58049
3747387;2421722;1632129506396;2;1;-9815.31633628655;437044.0;25.6939846242874;13.19;28.6400872589386;30.0289566381809;0.0;58049
3747388;2421723;1632129506399;2;1;-9821.31218433732;436920.0;25.1398497099516;13.17;28.5209852624329;29.9602112145185;0.0;58049
3747389;2421723;1632129506399;2;3;-12167.5980833141;436920.0;25.1398497099516;13.17;28.5209852624329;29.9602112145185;0.0;58049
3747390;2421724;1632129506403;2;3;-12167.5980833141;436529.0;24.7057581434348;12.97;28.6927518158941;30.0594186232973;0.0;58049
3747391;2421724;1632129506403;2;1;-9812.31841226116;436529.0;24.7057581434348;12.97;28.6927518158941;30.0594186232973;0.0;58049
3749806;2423145;1632129516032;2;3;-12253.7883990439;437094.0;20.4237859813988;13.29;28.4519324869659;29.9354269346021;0.0;58049
3749807;2423145;1632129516032;2;1;-9839.29972848962;437094.0;20.4237859813988;13.29;28.4519324869659;29.9354269346021;0.0;58049
3749808;2423146;1632129516035;2;3;-12167.5980833141;437075.0;21.3566440345014;13.37;27.8677978123245;29.5865492665809;0.0;58049
3749809;2423146;1632129516035;2;1;-9842.29765251501;437075.0;21.3566440345014;13.37;27.8677978123245;29.5865492665809;0.0;58049
3749813;2423148;1632129516039;2;1;-9737.37031162656;435003.0;23.0107430916659;12.61;29.3396908344414;30.4372981868113;0.0;58049
3749814;2423148;1632129516039;2;3;-12167.5980833141;435003.0;23.0107430916659;12.61;29.3396908344414;30.4372981868113;0.0;58049
3749817;2423150;1632129516043;2;1;-9809.32048823578;435576.0;23.8730909795552;12.91;28.7415111462541;30.0876576629201;0.0;58049
3749818;2423150;1632129516043;2;3;-12167.5980833141;435576.0;23.8730909795552;12.91;28.7415111462541;30.0876576629201;0.0;58049
3749822;2423152;1632129516046;2;1;-9812.31841226116;436521.0;24.2488256218905;13.07;28.6927518158941;30.0594186232973;0.0;58049
3749823;2423152;1632129516046;2;3;-12167.5980833141;436521.0;24.2488256218905;13.07;28.6927518158941;30.0594186232973;0.0;58049
3749824;2423153;1632129516050;2;1;-9806.3225642104;436858.0;24.9430922976225;13.13;28.7867868937505;30.1139106505774;0.0;58049
3749825;2423153;1632129516050;2;3;-12167.5980833141;436858.0;24.9430922976225;13.13;28.7867868937505;30.1139106505774;0.0;58049
3749831;2423156;1632129516053;2;1;-9848.29350056577;437026.0;25.5750720190566;13.19;27.5596680397925;29.4121398457528;0.0;58049
3749832;2423156;1632129516053;2;3;-12167.5980833141;437026.0;25.5750720190566;13.19;27.5596680397925;29.4121398457528;0.0;58049
3749834;2423158;1632129516057;2;3;-12167.5980833141;437089.0;26.194630630506;13.26;27.5596680397925;29.4121398457528;0.0;58049
3749835;2423158;1632129516057;2;1;-9848.29350056577;437089.0;26.194630630506;13.26;27.5596680397925;29.4121398457528;0.0;58049
3749837;2423160;1632129516061;2;1;-9848.29350056577;437075.0;26.7824009054424;13.33;27.5596680397925;29.4121398457528;0.0;58049
3749838;2423160;1632129516061;2;3;-12167.5980833141;437075.0;26.7824009054424;13.33;27.5596680397925;29.4121398457528;0.0;58049
3749848;2423166;1632129516118;2;3;-12067.9171094701;435431.0;28.8634397618151;12.46;;;;58049
3749849;2423166;1632129516118;4;3;-8227.57859187366;435667.0;35.1809190918882;12.73;;;;0
3749850;2423166;1632129516118;4;2;3873.31784079627;435667.0;35.1809190918882;12.73;;;;0
3749869;2423179;1632129516122;2;3;-12073.9129575208;435437.0;29.2130628052195;12.49;;;;58049
3749870;2423180;1632129516125;2;3;-12079.9088055716;435486.0;29.5424250943932;12.54;;;;58049
3749871;2423181;1632129516129;2;3;-12136.8693620539;435934.0;29.7025381928835;12.88;;;;58049
3749872;2423182;1632129516132;2;3;-12136.8693620539;435960.0;29.9437378688489;12.92;;;;58049
3749877;2423185;1632129516168;2;1;-9812.31841226116;436524.0;37.323284445838;13.04;29.4761346925108;30.5475178696902;0.0;0
3749878;2423185;1632129516168;4;2;3897.30123299934;436599.0;32.1089956297325;13.23;29.4761346925108;30.5475178696902;0.0;0
3749879;2423185;1632129516168;4;1;-5885.2746321347;436599.0;32.1089956297325;13.23;29.4761346925108;30.5475178696902;0.0;0
3749886;2423189;1632129516222;4;3;-8311.52046458441;437130.0;30.731824662495;12.97;28.9796501634734;30.2306688652526;0.0;0
3749887;2423189;1632129516222;4;2;3894.30330897395;437130.0;30.731824662495;12.97;28.9796501634734;30.2306688652526;0.0;0
3749888;2423189;1632129516222;4;1;-5903.262176287;437130.0;30.731824662495;12.97;28.9796501634734;30.2306688652526;0.0;0
3749890;2423191;1632129516226;2;3;-12169.8465263331;437082.0;38.1543678234803;13.24;28.5294717618158;29.9654762190247;0.0;0
3749891;2423191;1632129516226;2;1;-9821.31218433732;437082.0;38.1543678234803;13.24;28.5294717618158;29.9654762190247;0.0;0
3749898;2423196;1632129516229;2;3;-12175.8423743839;437072.0;38.1261876524653;13.27;;;;0
3749912;2423207;1632129516326;4;2;3810.3614362632;436295.0;30.8335046246877;12.96;;;;0
3749913;2423208;1632129516376;2;1;-9761.35370382963;435805.0;29.9027890973537;12.62;;;;0
3749915;2423210;1632129516380;2;1;-9752.35993175348;435433.0;29.3657155275752;12.6;;;;0
3752231;2424562;1632129526102;4;2;3882.31161287242;437067.0;32.7355961569487;13.28;28.9592969073426;30.219611745595;0.0;0
3752232;2424562;1632129526102;4;3;-8329.50800873672;437067.0;32.7355961569487;13.28;28.9592969073426;30.219611745595;0.0;0
3752233;2424562;1632129526102;4;1;-5918.25179641393;437067.0;32.7355961569487;13.28;28.9592969073426;30.219611745595;0.0;0
